iter	RMSE
0	14.99464526
1	14.60007611
2	14.22289372
3	13.85032114
4	13.51595976
5	13.218025
6	12.90777802
7	12.63451862
8	12.33367632
9	12.03730234
10	11.74214355
11	11.4986446
12	11.281928
13	11.02975363
14	10.79424392
15	10.55756962
16	10.34493455
17	10.14901812
18	9.927791722
19	9.723430073
20	9.541998922
21	9.368582781
22	9.20407693
23	9.03064611
24	8.865192098
25	8.724945825
26	8.580193283
27	8.45054185
28	8.314623692
29	8.189699125
30	8.071147292
31	7.958315831
32	7.843543361
33	7.739372319
34	7.629202018
35	7.53376227
36	7.434413795
37	7.33930263
38	7.249582845
39	7.167278097
40	7.091395973
41	7.018604101
42	6.944429832
43	6.88021183
44	6.81754414
45	6.758742092
46	6.689827076
47	6.630763609
48	6.569581698
49	6.515157533
50	6.463237194
51	6.40902504
52	6.36066615
53	6.315373977
54	6.271074612
55	6.228417205
56	6.189262643
57	6.153476228
58	6.114194133
59	6.081425628
60	6.049918612
61	6.017752454
62	5.988133559
63	5.956214824
64	5.927646789
65	5.898380807
66	5.871513563
67	5.844834063
68	5.82511018
69	5.806055086
70	5.778679998
71	5.754129671
72	5.729708599
73	5.708554508
74	5.686786915
75	5.66499956
76	5.647762626
77	5.62986588
78	5.614194916
79	5.594250199
80	5.57874091
81	5.560802659
82	5.544091658
83	5.532604703
84	5.518744103
85	5.504919396
86	5.487570934
87	5.477028944
88	5.463723131
89	5.451144498
90	5.438380396
91	5.428852374
92	5.416342566
93	5.405224138
94	5.395980554
95	5.386167413
96	5.374889422
97	5.365686451
98	5.356043469
99	5.347992038
100	5.338376522
101	5.328817447
102	5.32058498
103	5.309815774
104	5.299062805
105	5.294917261
106	5.287530063
107	5.280429948
108	5.273441981
109	5.266167065
110	5.259363479
111	5.252746947
112	5.243773372
113	5.236524774
114	5.23031935
115	5.222864164
116	5.219170164
117	5.213548819
118	5.208735078
119	5.204395887
120	5.195125613
121	5.193290254
122	5.188980696
123	5.18312348
124	5.177324981
125	5.170923289
126	5.166064776
127	5.159327483
128	5.153895796
129	5.152150952
130	5.145739889
131	5.138959302
132	5.135649793
133	5.129182051
134	5.125555572
135	5.121659952
136	5.116681449
137	5.110331219
138	5.106206955
139	5.103878925
140	5.097538222
141	5.09284268
142	5.082955778
143	5.080181692
144	5.074862878
145	5.069669367
146	5.064305907
147	5.059070436
148	5.05352476
149	5.049891299
150	5.045629123
151	5.041535392
152	5.035579943
153	5.032892408
154	5.029306903
155	5.025935802
156	5.019463313
157	5.015837775
158	5.011394516
159	5.003918125
160	5.000713638
161	4.996735302
162	4.987964547
163	4.982051604
164	4.976615305
165	4.971148693
166	4.966293672
167	4.963986369
168	4.961330939
169	4.958831251
170	4.953824691
171	4.949969704
172	4.947156357
173	4.943960374
174	4.93832082
175	4.935362767
176	4.927883954
177	4.923572822
178	4.920231507
179	4.915952799
180	4.907829237
181	4.901827321
182	4.899475995
183	4.897275407
184	4.892914774
185	4.889721673
186	4.885985884
187	4.882834187
188	4.880482223
189	4.875958065
190	4.873191654
191	4.868876365
192	4.865786418
193	4.862181706
194	4.860368917
195	4.859425491
196	4.857713987
197	4.853944761
198	4.849357316
199	4.843545834
200	4.841648761
201	4.838724516
202	4.83479514
203	4.83135795
204	4.828484563
205	4.824976727
206	4.820470217
207	4.817365635
208	4.814842229
209	4.811018169
210	4.807640312
211	4.804157747
212	4.800912137
213	4.79722948
214	4.794159101
215	4.793990667
216	4.792289421
217	4.78886701
218	4.787888294
219	4.78521944
220	4.77973325
221	4.775331693
222	4.773474341
223	4.771398304
224	4.769526022
225	4.766072061
226	4.7633709
227	4.757577378
228	4.756464349
229	4.750940266
230	4.747197636
231	4.742182825
232	4.739409266
233	4.735086409
234	4.732717968
235	4.729629406
236	4.728858088
237	4.724208978
