iter	Passed	Remaining
0	68	68407
1	69	34450
2	69	23132
3	70	17471
4	70	14082
5	71	11805
6	71	10182
7	72	8956
8	72	8023
9	73	7281
10	74	6670
11	74	6154
12	75	5714
13	75	5339
14	76	5015
15	76	4725
16	77	4470
17	77	4242
18	78	4039
19	78	3856
20	79	3696
21	79	3551
22	80	3420
23	81	3295
24	81	3178
25	82	3073
26	82	2974
27	83	2883
28	83	2797
29	84	2716
30	84	2640
31	85	2571
32	85	2509
33	86	2448
34	86	2392
35	87	2338
36	87	2285
37	88	2234
38	88	2187
39	89	2141
40	89	2097
41	90	2056
42	90	2016
43	91	1980
44	91	1949
45	92	1918
46	93	1887
47	93	1857
48	94	1829
49	94	1800
50	95	1771
51	95	1744
52	96	1720
53	96	1695
54	97	1673
55	97	1649
56	98	1628
57	98	1606
58	99	1585
59	99	1564
60	100	1544
61	100	1525
62	101	1506
63	101	1488
64	102	1470
65	102	1453
66	103	1438
67	103	1423
68	104	1409
69	104	1392
70	105	1377
71	105	1365
72	106	1351
73	106	1338
74	107	1325
75	107	1312
76	108	1301
77	109	1289
78	109	1278
79	110	1267
80	110	1256
81	111	1245
82	111	1235
83	112	1225
84	112	1215
85	113	1205
86	113	1194
87	114	1184
88	114	1174
89	115	1166
90	115	1157
91	116	1149
92	117	1141
93	117	1133
94	118	1124
95	118	1116
96	119	1108
97	119	1100
98	119	1092
99	120	1084
100	120	1076
101	121	1069
102	122	1062
103	122	1056
104	123	1050
105	123	1044
106	124	1037
107	124	1030
108	125	1023
109	125	1016
110	126	1010
111	126	1003
112	126	996
113	127	991
114	128	985
115	128	981
116	129	975
117	129	970
118	130	964
119	130	959
120	131	953
121	131	948
122	132	942
123	132	937
124	133	931
125	133	926
126	134	922
127	134	917
128	135	913
129	135	907
130	136	903
131	136	898
132	137	893
133	137	889
134	138	885
135	138	880
136	139	876
137	139	871
138	140	867
139	140	863
140	141	860
141	141	856
142	142	852
143	142	848
144	143	844
145	143	840
146	144	837
147	144	832
148	145	828
149	145	824
150	146	821
151	146	818
152	147	815
153	147	812
154	148	808
155	148	805
156	149	801
157	149	798
158	150	795
159	150	791
160	151	788
161	151	784
162	152	781
163	152	778
164	153	775
165	153	773
166	154	769
167	154	766
168	155	763
169	155	760
170	156	757
171	156	754
172	157	751
173	157	748
174	158	748
175	159	746
176	159	743
177	160	740
178	160	737
179	161	735
180	161	732
181	162	729
182	162	727
183	163	724
184	163	721
185	164	719
186	164	716
187	165	714
188	165	712
189	166	709
190	166	707
191	167	704
192	167	701
193	168	699
194	168	696
195	169	694
196	169	691
197	170	689
198	170	687
199	171	685
200	171	683
201	172	681
202	172	678
203	173	676
204	173	674
205	174	672
206	174	670
207	175	667
208	175	665
209	176	663
210	176	661
211	177	660
212	178	658
213	178	656
214	179	653
215	179	651
216	179	648
217	180	646
218	180	644
219	181	642
220	181	640
221	182	638
222	182	637
223	183	635
224	184	634
225	184	632
226	185	630
227	185	628
228	185	626
229	186	624
230	186	622
231	187	620
232	187	618
233	188	616
234	188	614
235	189	613
236	189	611
237	190	609
238	191	608
239	191	606
240	191	604
241	192	602
242	192	601
243	193	599
244	193	597
245	194	595
246	194	593
247	195	592
248	195	590
249	196	589
250	197	588
251	197	586
252	198	584
253	198	583
254	199	581
255	199	579
256	199	578
257	200	576
258	201	575
259	201	574
260	202	572
261	202	571
262	203	570
263	203	568
264	204	566
265	204	565
266	205	563
267	205	562
268	206	561
269	207	559
270	207	559
271	208	557
272	208	556
273	209	555
274	210	553
275	210	552
276	210	550
277	211	549
278	212	547
279	212	546
280	213	545
281	213	543
282	214	543
283	215	542
284	215	541
285	216	539
286	216	538
287	217	536
288	217	535
289	218	534
290	218	532
291	219	531
292	219	530
293	220	529
294	220	527
295	221	526
296	221	525
297	222	523
298	222	522
299	223	521
300	223	519
301	224	518
302	224	517
303	225	515
304	225	514
305	226	513
306	226	512
307	227	511
308	227	509
309	228	508
310	228	506
311	229	505
312	229	504
313	230	503
314	230	501
315	231	500
316	231	499
317	232	498
318	232	497
319	233	495
320	233	494
321	234	493
322	234	492
323	235	490
324	235	489
325	236	488
326	236	487
327	237	485
328	237	484
329	238	483
330	238	482
331	239	481
332	239	480
333	240	479
334	240	478
335	241	477
336	241	475
337	242	474
338	242	473
339	243	473
340	244	472
341	244	471
342	245	470
343	245	468
344	246	467
345	246	466
346	247	465
347	247	464
348	248	463
349	248	462
350	249	460
351	249	460
352	250	458
353	250	457
354	251	456
355	251	455
356	252	454
357	252	453
358	253	452
359	253	451
360	254	450
361	255	449
362	255	448
363	256	447
364	256	446
365	257	445
366	257	444
367	258	443
368	258	442
369	259	441
370	259	440
371	260	439
372	260	438
373	261	437
374	262	436
375	262	435
376	263	435
377	263	434
378	264	433
379	264	432
380	265	431
381	265	430
382	266	429
383	266	428
384	267	427
385	268	426
386	268	425
387	269	424
388	269	423
389	270	422
390	270	421
391	271	421
392	272	420
393	272	419
394	273	418
395	273	417
396	274	416
397	275	416
398	275	415
399	276	414
400	276	413
401	277	412
402	277	411
403	278	410
404	279	409
405	279	408
406	279	407
407	280	407
408	281	406
409	281	405
410	282	404
411	282	403
412	283	402
413	283	401
414	284	400
415	284	399
416	285	398
417	285	397
418	286	397
419	286	396
420	287	395
421	287	394
422	288	393
423	289	392
424	289	391
425	290	390
426	290	389
427	290	388
428	291	387
429	291	386
430	292	386
431	292	385
432	293	384
433	294	383
434	294	382
435	295	381
436	295	380
437	296	379
438	296	379
439	297	378
440	297	377
441	297	376
442	298	375
443	299	374
444	299	373
445	300	372
446	300	371
447	301	371
448	301	370
449	302	369
450	302	368
451	303	367
452	303	366
453	304	365
454	304	364
455	305	364
456	305	363
457	306	362
458	306	361
459	307	360
460	308	360
461	308	359
462	309	358
463	309	357
464	310	356
465	310	356
466	311	355
467	311	354
468	312	353
469	313	353
470	313	352
471	314	351
472	314	350
473	315	349
474	315	348
475	316	348
476	316	347
477	317	346
478	318	345
479	318	345
480	319	344
481	319	343
482	320	342
483	320	341
484	321	340
485	321	340
486	322	339
487	322	338
488	323	337
489	323	336
490	324	336
491	325	335
492	325	335
493	326	334
494	326	333
495	327	332
496	327	331
497	328	331
498	328	330
499	329	329
500	329	328
501	330	328
502	331	327
503	331	326
504	332	325
505	332	324
506	332	323
507	333	322
508	333	322
509	334	321
510	334	320
511	335	319
512	336	319
513	336	318
514	337	317
515	337	316
516	338	315
517	338	315
518	339	314
519	339	313
520	340	312
521	341	312
522	341	311
523	342	310
524	342	310
525	343	309
526	343	308
527	344	307
528	344	307
529	345	306
530	345	305
531	346	304
532	346	303
533	347	303
534	348	302
535	348	302
536	349	301
537	349	300
538	350	299
539	350	298
540	351	298
541	351	297
542	352	296
543	352	295
544	353	295
545	354	294
546	354	293
547	355	293
548	355	292
549	356	291
550	356	290
551	357	290
552	358	289
553	358	288
554	359	288
555	360	287
556	360	286
557	361	286
558	361	285
559	362	284
560	362	284
561	363	283
562	363	282
563	364	281
564	364	280
565	365	280
566	366	279
567	366	278
568	367	278
569	367	277
570	368	276
571	368	276
572	369	275
573	370	274
574	370	273
575	370	273
576	371	272
577	372	271
578	372	271
579	373	270
580	373	269
581	374	268
582	374	268
583	375	267
584	375	266
585	376	265
586	376	265
587	377	264
588	377	263
589	378	263
590	379	262
591	380	261
592	380	261
593	381	260
594	381	259
595	382	259
596	382	258
597	383	257
598	383	256
599	384	256
600	384	255
601	385	254
602	385	254
603	386	253
604	386	252
605	387	251
606	387	251
607	388	250
608	388	249
609	389	248
610	389	248
611	390	247
612	390	246
613	391	245
614	391	245
615	392	244
616	392	243
617	393	243
618	393	242
619	394	241
620	394	240
621	395	240
622	395	239
623	396	238
624	396	238
625	397	237
626	398	236
627	398	236
628	399	235
629	399	234
630	400	234
631	400	233
632	401	232
633	401	232
634	402	231
635	403	230
636	403	230
637	404	229
638	404	228
639	405	227
640	405	227
641	406	226
642	406	225
643	407	225
644	407	224
645	408	223
646	408	223
647	409	222
648	410	221
649	410	221
650	411	220
651	412	219
652	412	219
653	413	218
654	413	217
655	414	217
656	414	216
657	415	215
658	415	215
659	416	214
660	416	213
661	417	213
662	417	212
663	418	211
664	418	210
665	419	210
666	419	209
667	420	208
668	420	208
669	421	207
670	422	206
671	422	206
672	423	205
673	423	204
674	424	204
675	424	203
676	425	202
677	425	202
678	426	201
679	426	200
680	427	200
681	427	199
682	428	198
683	428	198
684	429	197
685	430	196
686	430	196
687	431	195
688	431	194
689	432	194
690	432	193
691	433	192
692	433	192
693	434	191
694	434	190
695	435	190
696	435	189
697	436	188
698	436	188
699	437	187
700	437	186
701	438	186
702	438	185
703	439	184
704	439	184
705	440	183
706	441	182
707	441	182
708	442	181
709	442	180
710	443	180
711	443	179
712	444	178
713	444	178
714	445	177
715	445	176
716	446	176
717	446	175
718	447	174
719	447	174
720	448	173
721	448	172
722	449	172
723	449	171
724	450	170
725	450	170
726	451	169
727	452	168
728	452	168
729	453	167
730	453	167
731	454	166
732	454	165
733	455	165
734	456	164
735	456	163
736	456	163
737	457	162
738	458	161
739	458	161
740	459	160
741	459	159
742	460	159
743	460	158
744	461	157
745	461	157
746	462	156
747	462	155
748	463	155
749	463	154
750	464	153
751	465	153
752	465	152
753	466	152
754	466	151
755	467	150
756	467	150
757	468	149
758	468	148
759	469	148
760	469	147
761	470	146
762	470	146
763	471	145
764	472	145
765	472	144
766	473	143
767	473	143
768	473	142
769	474	141
770	474	141
771	475	140
772	475	139
773	476	139
774	477	138
775	477	137
776	478	137
777	478	136
778	479	136
779	479	135
780	480	134
781	480	134
782	481	133
783	481	132
784	482	132
785	482	131
786	483	130
787	484	130
788	484	129
789	485	128
790	485	128
791	486	127
792	486	127
793	487	126
794	487	125
795	488	125
796	488	124
797	489	123
798	489	123
799	490	122
800	490	121
801	491	121
802	491	120
803	492	120
804	492	119
805	493	118
806	493	118
807	494	117
808	494	116
